goods_no,category,base_cat,brand,brand_name,title,style_no,similar_no,gender,season,season_year,thumbnail,price_normal,price_final,review_count,review_score,purchase_total,page_view,fit,touch,elasticity,sheer,thickness,wear_season,color_codes,sizes,gallery,tags,size_type,size_measures,survey,ai_summary,ingest_tag,fetched_at
5156748,001001,017016005,muscolo,머스콜로,[MGW 퀵드라이] 에어쿨링 반팔 티셔츠 화이트 블랙,P00000FB,0,남성,2,2025,https://image.msscdn.net/images/goods_img/20250529/5156748/5156748_17820607312106_500.png,36000,36000,1,100,0,0,,,,,,,{1},"{1,2}","{/images/prd_img/20250529/5156748/detail_5156748_17820607319265_500.png,/images/prd_img/20250529/5156748/detail_5156748_17820607320552_500.png,/images/prd_img/20250529/5156748/detail_5156748_17820607321938_500.png,/images/prd_img/20250529/5156748/detail_5156748_17820607323298_500.png,/images/prd_img/20250529/5156748/detail_5156748_17820607324840_500.png}",{쿨아이템},5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 75.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 25.5, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 80.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 67.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 68.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 27.0, ""recommendSizeRange"": 5}]}]","{""questions"": []}",,,2026-08-12 03:47:03.50325+00
5157200,001001,017016005,muscolo,머스콜로,[머슬맨] 에어쿨링 반팔 티셔츠 화이트 핑크,P00000EH,0,남성,2,2025,https://image.msscdn.net/images/goods_img/20250529/5157200/5157200_17836615767359_500.png,36000,36000,0,0,0,0,,,,,,,{1},"{1,2,3}","{/images/prd_img/20250529/5157200/detail_5157200_17836615773338_500.png,/images/prd_img/20250529/5157200/detail_5157200_17836615774802_500.png,/images/prd_img/20250529/5157200/detail_5157200_17836615776170_500.png,/images/prd_img/20250529/5157200/detail_5157200_17836615777525_500.png,/images/prd_img/20250529/5157200/detail_5157200_17836615779103_500.png}",{쿨아이템},5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 75.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 25.5, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 80.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 67.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 68.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 27.0, ""recommendSizeRange"": 5}]}, {""name"": ""3"", ""items"": [{""name"": ""총장"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 0.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
5157209,001001,017016005,muscolo,머스콜로,[머슬맨] 에어쿨링 반팔 티셔츠 화이트 블루,P00000EG,0,남성,2,2025,https://image.msscdn.net/images/goods_img/20250529/5157209/5157209_17836615748366_500.png,36000,36000,0,0,0,0,,,,,,,{1},"{1,2,3}","{/images/prd_img/20250529/5157209/detail_5157209_17836615754425_500.png,/images/prd_img/20250529/5157209/detail_5157209_17836615756019_500.png,/images/prd_img/20250529/5157209/detail_5157209_17836615757427_500.png,/images/prd_img/20250529/5157209/detail_5157209_17836615758848_500.png,/images/prd_img/20250529/5157209/detail_5157209_17836615760302_500.png}",{쿨아이템},5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 75.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 25.5, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 80.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 67.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 68.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 27.0, ""recommendSizeRange"": 5}]}, {""name"": ""3"", ""items"": [{""name"": ""총장"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 0.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
5157250,001001,017016005,muscolo,머스콜로,[에어쿨링] 기능성 오버핏 반팔 티셔츠 화이트 레드,P00000ED,0,남성,2,2025,https://image.msscdn.net/images/goods_img/20250529/5157250/5157250_17727719834734_500.png,36000,36000,1,80,0,0,,,,,,,{1},"{1,2}","{/images/prd_img/20250529/5157250/detail_5157250_17727719840561_500.png,/images/prd_img/20250529/5157250/detail_5157250_17727719842114_500.png,/images/prd_img/20250529/5157250/detail_5157250_17727719843534_500.png,/images/prd_img/20250529/5157250/detail_5157250_17727719845918_500.png}",{쿨아이템},5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 75.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 25.5, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 80.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 67.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 68.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 27.0, ""recommendSizeRange"": 5}]}]","{""questions"": []}",,,2026-08-12 03:47:03.50325+00
5157276,001001,017016005,muscolo,머스콜로,[에어쿨링] 기능성 오버핏 반팔 티셔츠 블랙 그린,P00000EB,0,남성,2,2025,https://image.msscdn.net/images/goods_img/20250529/5157276/5157276_17727718024023_500.png,36000,36000,0,0,0,0,,,,,,,{2},"{1,2}","{/images/prd_img/20250529/5157276/detail_5157276_17727718030297_500.png,/images/prd_img/20250529/5157276/detail_5157276_17727718032068_500.png,/images/prd_img/20250529/5157276/detail_5157276_17727718033994_500.png,/images/prd_img/20250529/5157276/detail_5157276_17727718035805_500.png}",{쿨아이템},5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 75.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 25.5, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 80.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 67.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 68.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 27.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
5157447,001001,017016005,muscolo,머스콜로,[에어쿨링] 기능성 오버핏 반팔 티셔츠 블랙 오렌지,P00000DY,0,남성,2,2025,https://image.msscdn.net/images/goods_img/20250529/5157447/5157447_17727714402631_500.png,36000,36000,0,0,0,0,,,,,,,{25},"{1,2}","{/images/prd_img/20250529/5157447/detail_5157447_17727714408764_500.png,/images/prd_img/20250529/5157447/detail_5157447_17727714410483_500.png,/images/prd_img/20250529/5157447/detail_5157447_17727714412333_500.png,/images/prd_img/20250529/5157447/detail_5157447_17727714414682_500.png,/images/prd_img/20250529/5157447/detail_5157447_17727714417147_500.png}",{쿨아이템},5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 75.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 25.5, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 80.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 67.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 68.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 27.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
5160017,001004,017016007,muscolo,머스콜로,빈티지 웜 코튼 후드 - 시멘트,P00000HW,0,남성,1,2025,https://image.msscdn.net/images/goods_img/20250530/5160017/5160017_17820607264706_500.jpg,62000,62000,1,100,0,0,,,,,,,{24},"{1,2}","{/images/prd_img/20250530/5160017/detail_5160017_17820607270877_500.jpg,/images/prd_img/20250530/5160017/detail_5160017_17820607272261_500.jpg,/images/prd_img/20250530/5160017/detail_5160017_17820607273673_500.jpg,/images/prd_img/20250530/5160017/detail_5160017_17820607275079_500.jpg}",,21,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 78.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 67.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 69.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 66.0, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 84.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 72.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 73.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 74.5, ""recommendSizeRange"": 5}]}]","{""questions"": []}",,,2026-08-12 03:47:03.50325+00
5220049,001001,001001,islandproject,아일랜드 프로젝트,City Daegu Bear T-Shirt - Navy [대구베어],P0000BVZ,0,공용,1,2025,https://image.msscdn.net/images/goods_img/20250702/5220049/5220049_17802987421199_500.png,49000,49000,0,0,0,0,,,,,,,{36},"{1,2}","{/images/prd_img/20250702/5220049/detail_5220049_17802987427606_500.png,/images/prd_img/20250702/5220049/detail_5220049_17802987429035_500.jpg}","{반소매,반팔티셔츠,여름티셔츠,여자반팔,오버핏,오버핏반팔}",5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 74.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 56.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 59.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 76.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
5220052,001001,001001,islandproject,아일랜드 프로젝트,City Daegu Bear T-Shirt - White [대구베어],P0000BVY,0,공용,1,2025,https://image.msscdn.net/images/goods_img/20250702/5220052/5220052_17522640756028_500.png,49000,49000,0,0,0,0,,,,,,,{1},"{1,2}",{/images/prd_img/20250702/5220052/detail_5220052_17536799870853_500.png},"{그래픽티셔츠,반팔티,반팔티셔츠,여름반팔티,여자반팔,오버핏반팔}",5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 74.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 56.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 59.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 76.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
5220054,001001,001001,islandproject,아일랜드 프로젝트,City Daegu Bear T-Shirt - Black [대구베어],P0000BWA,0,공용,1,2025,https://image.msscdn.net/images/goods_img/20250702/5220054/5220054_17802987415215_500.png,49000,49000,0,0,0,0,,,,,,,{2},"{1,2}","{/images/prd_img/20250702/5220054/detail_5220054_17802987421729_500.png,/images/prd_img/20250702/5220054/detail_5220054_17802987423163_500.jpg}","{그래픽티셔츠,반소매티셔츠,여름반팔티,여름티셔츠,오버핏,오버핏반팔}",5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 74.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 56.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 59.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 76.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
5220057,001001,001001,islandproject,아일랜드 프로젝트,City Daegu Classic T-Shirt - White [대구],P0000BVW,0,공용,1,2025,https://image.msscdn.net/images/goods_img/20250702/5220057/5220057_17860066205362_500.png,45000,45000,0,0,0,0,,,,,,,{1},"{1,2}",,,5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 74.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 56.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 59.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 76.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
5220118,001001,001001,islandproject,아일랜드 프로젝트,City Daegu Classic T-Shirt - Black [대구],P0000BVV,0,공용,1,2025,https://image.msscdn.net/images/goods_img/20250702/5220118/5220118_17802987394488_500.png,45000,45000,2,100,0,0,,,,,,,{2},"{1,2}",,,5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 74.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 56.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 59.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 76.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}]","{""questions"": []}",,,2026-08-12 03:47:03.50325+00
5220119,001001,001001,islandproject,아일랜드 프로젝트,City Daegu Classic T-Shirt - Navy [대구],P0000BVX,0,남성,1,2025,https://image.msscdn.net/images/goods_img/20250702/5220119/5220119_17860066210500_500.png,45000,45000,1,100,0,0,,,,,,,{36},"{1,2}",,,5,"[{""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 74.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 56.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 59.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 76.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}]","{""questions"": []}",,,2026-08-12 03:47:03.50325+00
5241615,001001,001001,nuukfitter,누크피터,NKFT RAGLAN T-SHIRT_WOMEN [BLUE],NC1TS030WBL,0,여성,1,2025,https://image.msscdn.net/images/goods_img/20250710/5241615/5241615_17858136235099_500.jpeg,99000,99000,0,0,0,0,,,,,,,{5},"{S,M,L}","{/images/prd_img/20250710/5241615/detail_5241615_17858136241127_500.jpeg,/images/prd_img/20250710/5241615/detail_5241615_17858136242586_500.jpeg,/images/prd_img/20250710/5241615/detail_5241615_17858136244404_500.jpeg,/images/prd_img/20250710/5241615/detail_5241615_17858136245767_500.jpg,/images/prd_img/20250710/5241615/detail_5241615_17858136247643_500.jpg}","{나그랑,래글런}",11,"[{""name"": ""S"", ""items"": [{""name"": ""총장"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 53.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 63.0, ""recommendSizeRange"": 5}]}, {""name"": ""M"", ""items"": [{""name"": ""총장"", ""value"": 60.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 55.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 65.0, ""recommendSizeRange"": 5}]}, {""name"": ""L"", ""items"": [{""name"": ""총장"", ""value"": 62.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 67.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
5242916,001001,017016005,biltmore,빌트모아,여성 골프 원포인트 V넥 반팔 티셔츠,B0RWSH1042,0,여성,1,0000,https://image.msscdn.net/images/goods_img/20250711/5242916/5242916_17522138805799_500.jpg,25000,25000,0,0,0,0,레귤러,보통,있음,거의 없음,얇음,여름,"{25,36,8,9}","{차콜^90,차콜^95,차콜^100,차콜^105,네이비^90,네이비^95,네이비^100,네이비^105,퍼플^90,퍼플^95,퍼플^100,퍼플^105,옐로우^90,옐로우^95,옐로우^100,옐로우^105}","{/images/prd_img/20250711/5242916/detail_5242916_17522138890152_500.jpg,/images/prd_img/20250711/5242916/detail_5242916_17522138916559_500.jpg,/images/prd_img/20250711/5242916/detail_5242916_17522138926960_500.jpg,/images/prd_img/20250711/5242916/detail_5242916_17522138936300_500.jpg,/images/prd_img/20250711/5242916/detail_5242916_17522138947145_500.jpg,/images/prd_img/20250711/5242916/detail_5242916_17522138954886_500.jpg}","{골프,골프티,골프티셔츠,반팔티셔츠,브이넥티셔츠,여성골프웨어,프린팅티셔츠}",5,"[{""name"": ""90"", ""items"": [{""name"": ""총장"", ""value"": 58.5, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 38.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 47.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 21.0, ""recommendSizeRange"": 5}]}, {""name"": ""95"", ""items"": [{""name"": ""총장"", ""value"": 60.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 40.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 49.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 22.0, ""recommendSizeRange"": 5}]}, {""name"": ""100"", ""items"": [{""name"": ""총장"", ""value"": 61.5, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 41.5, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 52.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}, {""name"": ""105"", ""items"": [{""name"": ""총장"", ""value"": 63.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 43.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 54.5, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 24.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
5268367,001001,001001,islandproject,아일랜드 프로젝트,Mandarin Box Bear T-shirt - Navy  [감귤박스베어],P0000BWB,0,여성,1,2025,https://image.msscdn.net/images/goods_img/20250723/5268367/5268367_17841853873119_500.jpg,49000,49000,0,0,0,0,,,,,,,{36},"{네이비^1,네이비^2,네이비^0}",,"{그래픽티셔츠,반소매티셔츠,반팔티,여름반팔티,여름티셔츠,여자반팔,오버핏반팔}",5,"[{""name"": ""0"", ""items"": [{""name"": ""총장"", ""value"": 67.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 51.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 55.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 0.0, ""recommendSizeRange"": 5}]}, {""name"": ""1"", ""items"": [{""name"": ""총장"", ""value"": 74.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 56.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 59.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}, {""name"": ""2"", ""items"": [{""name"": ""총장"", ""value"": 76.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
5307157,001010,001010,saintjames,세인트제임스,가라티 II 롱 티셔츠 (0MM) ASJF2G93000-0MM,ASJF2G93000-0MM,0,여성,1,2025,https://image.msscdn.net/images/goods_img/20250811/5307157/5307157_17548706841348_500.jpg,148000,140600,3,80,0,0,,,,,,,{1},"{XS,S,M,L}","{/images/prd_img/20250811/5307157/detail_5307157_17548706850133_500.jpg,/images/prd_img/20250811/5307157/detail_5307157_17548706853665_500.jpg,/images/prd_img/20250811/5307157/detail_5307157_17548706856866_500.jpg,/images/prd_img/20250811/5307157/detail_5307157_17548706859586_500.jpg}","{GALATHEE,가라디,가라티,단가라티셔츠,스트라이프,스트라이프티셔츠}",,,"{""questions"": []}",,,2026-08-12 03:47:03.50325+00
5308085,001010,017016002,madden,매든,[8COLORS] 라인드 와플 롱슬리브,MDLTFA002,0,공용,2,2025,https://image.msscdn.net/images/goods_img/20250811/5308085/5308085_17857181665016_500.jpg,59900,41900,535,98,4887,6088,,,,,,,"{10,2,25,3,34,36,39,44}","{멜란지그레이^M,멜란지그레이^L,멜란지그레이^XL,네이비^M,네이비^L,네이비^XL,세이지그린^M,세이지그린^L,세이지그린^XL,차콜^M,차콜^L,차콜^XL,핑크^M,핑크^L,핑크^XL,멜란지그레이^S,네이비^S,세이지그린^S,차콜^S,핑크^S,""라이트 퍼플^S"",""라이트 퍼플^M"",""라이트 퍼플^L"",""라이트 퍼플^XL"",레몬^S,레몬^M,레몬^L,레몬^XL,블랙^S,블랙^M,블랙^L,블랙^XL}","{/images/prd_img/20250811/5308085/detail_5308085_17857181819705_500.jpg,/images/prd_img/20250811/5308085/detail_5308085_17857181868631_500.jpg,/images/prd_img/20250811/5308085/detail_5308085_17857181994450_500.jpg,/images/prd_img/20250811/5308085/detail_5308085_17561783364648_500.jpg,/images/prd_img/20250811/5308085/detail_5308085_17561783356155_500.jpg,/images/prd_img/20250811/5308085/detail_5308085_17561783346688_500.jpg,/images/prd_img/20250811/5308085/detail_5308085_17561783371045_500.jpg,/images/prd_img/20250811/5308085/detail_5308085_17634551389457_500.jpg}","{25FW,긴팔,긴팔티셔츠,롱슬리브,롱슬리브티,롱슬리브티셔츠,티셔츠}",21,"[{""name"": ""S"", ""items"": [{""name"": ""총장"", ""value"": 62.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 54.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 52.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 84.0, ""recommendSizeRange"": 5}]}, {""name"": ""M"", ""items"": [{""name"": ""총장"", ""value"": 71.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 60.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 55.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 90.0, ""recommendSizeRange"": 5}]}, {""name"": ""L"", ""items"": [{""name"": ""총장"", ""value"": 73.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 63.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 93.0, ""recommendSizeRange"": 5}]}, {""name"": ""XL"", ""items"": [{""name"": ""총장"", ""value"": 75.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 66.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 96.0, ""recommendSizeRange"": 5}]}]","{""questions"": []}","{""goodsNo"": 5308085, ""isShared"": false, ""reaction"": {}, ""keywordSummaries"": [], ""sentimentSummary"": {""negative"": ""일부 후기에서는 목 부분이 늘어나는 점이 있네요. 가끔 배송이 현관에 던져지는 경우가 있어요. 드물지만 어깨에 하자가 보이는 경우도 있어요. 때때로 사이즈가 크게 느껴져요."", ""positive"": ""와플 조직의 착용감이 부드럽고 통기성 좋네요. 스트링으로 핏 조절 가능해요. 색감이 화면과 같고 디테일이 많아요. 가격이 착해요. 부담 없는 가격이에요.""}}",,2026-08-12 03:47:03.50325+00
